"CASE","QUESTNNR","MODE","STARTED","BE02","BE03","BE04","BE07","BE08","BE09","GE02_01","GE02_02","GE02_03","GE02_04","GE02_05","GE03_01","GE03_02","GE03_03","GE04_01","GE04_02","GE04_03","GE04_04","GE04_05","ME02_01","ME02_02","ME02_03","ME02_04","ME02_05","ME02_06","ME02_07","ME02_08","ME02_09","ME02_10","ME02_11","ME02_12","ME02_13","ME02_14","ME02_15","ME02_16","ME02_17","ME02_18","ME02_19","ME02_20","ME02_21","ME02_22","ME02_23","ME02_24","ME02_25","ME02_26","ME02_27","ME02_28","ME02_29","ME02_30","ME02_31","ME02_32","ME02_33","ME02_34","ME02_35","ME02_36","ME02_37","ME02_38","ME02_39","ME02_40","ME02_41","ME02_42","ME02_43","ME02_44","ME02_45","ME02_46","ME04_01","ME04_02","ME04_03","ME04_04","ME04_05","ME04_06","ME04_07","ME04_08","ME04_09","ME04_10","ME04_11","ME04_12","ME04_13","ME04_14","ME04_15","ME04_16","ME04_17","ME04_18","ME04_19","ME04_20","ME04_21","ME04_22","ME04_23","ME04_24","ME04_25","ME04_26","ME04_27","ME04_28","ME04_29","ME04_30","ME04_31","ME04_32","ME04_33","ME04_34","ME04_35","ME04_36","ME04_37","ME04_38","ME04_39","ME04_40","ME04_41","ME04_42","ME04_43","ME04_44","ME04_45","ME04_46","RN03","RN04","RN05_01","RN07","RN08","RN09_01","SD04","SD05_01","SD06_01","SO02","SO02_01","SO02_02","SO02_03","SO02_04","SO02_05","SO02_06","SO02_07","SO02_08","SO02_09","SO02_10","SO02_11","SO02_12","SO02_13","SO02_14","SO02_15","SO02_16","SO02_17","SO02_18","SO02_19","SO02_20","SO02_20a","SO03","SO03_01","SO03_02","SO03_03","SO03_04","SO03_05","SO03_06","SO03_07","SO03_08","SO03_09","SO03_10","SO03_11","SO03_12","SO03_13","SO03_14","SO03_15","SO03_15a","SO04","SO04_01","SO04_02","SO04_03","SO04_04","SO04_05","SO04_06","SO04_07","SO04_08","SO04_09","SO04_10","SO04_11","SO04_12","SO05","SO05_01","SO05_02","SO05_03","SO05_04","SO05_05","SO05_06","SO05_07","SO05_08","SO06","SO06_01","SO06_02","SO06_03","SO06_04","SO06_05","SO06_06","SO06_07","SO06_08","SO06_09","SO06_09a","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","TIME026","TIME027","TIME028","TIME_SUM","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
"1052","iso16757_umfrage","interview","2026-04-30 15:45:09","5","2","-1","4","3","","","","","","","","","","","","","","","","306","","","","","","","","319","307","","","","","","","","","","593","","551","559","","","","","","","336","","","","","554","","191","559","","","","581","564","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","Wir nutzen VDI 3805 Daten ab und zu für fehlende Herstellerdaten in unserm Berechnungsprogram RauWin.
Für BIM in Revit ist das VDI Datenformat uninteressant, da es keine passende Schnitstelle ohne Zusatsoftware hat.","1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","4","3","2011","252","2","62","22","2","199","","","","","","","","","","","","","","","","","","","363","2026-04-30 16:28:18","","F","F","10","10","4","0","1.18"
"1053","iso16757_umfrage","interview","2026-04-30 16:22:30","6","5","4","4","4","","5","5","4","5","3","6","3","3","6","6","6","6","4","175","165","54","190","192","172","194","307","172","205","333","317","192","555","184","327","315","169","200","188","193","329","186","304","192","202","309","309","310","330","166","295","321","318","302","315","673","191","168","300","187","196","333","305","160","311","6","6","6","6","5","6","6","4","6","6","6","5","5","6","6","6","5","6","6","3","2","5","5","5","5","5","4","4","5","5","5","4","5","6","4","5","3","6","5","5","3","4","5","6","5","5","3","3","","1","1","","1","","","2","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T","DDS-CAD","2","T","F","F","F","F","F","F","F","F","F","F","F","F","F","T","Eigene Cloud auf eigenen Servern","3","T","F","F","F","T","F","F","F","T","F","F","F","6","T","F","T","T","T","T","T","F","4","T","F","F","T","F","T","F","F","T","Ausschreibungstexte im GAEB-Format","18","4","10","24","14","13","37","25","23","393","10","1872","12","","","4","97","32","71","5","62","45","44","97","7","21","11","6","1352","2026-04-30 17:11:47","complete","T","F","28","28","7","0","0.7"
"1056","iso16757_umfrage","interview","2026-05-04 10:48:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","7","6","21","7","","","","","","","","","","","","","","","","","","","","","","","","53","2026-05-04 10:49:50","","F","F","5","5","33","7","1.18"
"1058","iso16757_umfrage","interview","2026-05-06 15:10:42","5","7","3","4","3","","3","5","5","3","3","5","3","4","4","6","4","4","3","209","27","149","584","150","217","164","517","348","166","351","532","282","184","277","224","351","305","531","338","530","268","346","590","290","271","529","289","336","340","175","335","219","145","600","589","327","145","168","348","224","556","582","597","548","574","5","5","5","5","5","5","5","5","5","6","5","5","5","5","5","4","5","5","4","4","4","3","4","5","6","6","4","6","5","5","6","5","6","5","5","4","4","5","5","4","5","4","4","4","4","5","3","2","","1","-1","","1","","","2","F","F","F","T","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","","3","F","T","T","F","F","F","F","F","F","F","T","F","F","F","F","","4","T","F","F","F","T","F","F","F","T","T","F","F","4","T","T","T","F","T","F","F","F","5","T","F","T","T","F","T","F","T","F","","2","5","16","50","34","2","121","29","9","700","5","399","46","","","3","87","25","138","4","24","47","34","61","4","14","27","2","1673","2026-05-06 15:42:10","complete","T","F","28","28","7","0","0.91"
"1073","iso16757_umfrage","interview","2026-05-21 11:40:47","6","4","1","1","1","2","6","6","6","5","3","5","5","6","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","1","1","","1","","","1","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","","3","T","T","F","F","F","F","F","F","F","F","F","F","F","F","T","eplass","2","T","F","F","F","T","F","F","F","F","F","F","F","4","T","F","T","T","F","F","T","F","2","F","F","F","T","F","T","F","F","F","","12","5","14","11","11","2","29","8","8","","","","","","","4","36","16","17","2","5","24","15","25","3","9","10","2","268","2026-05-21 11:45:16","complete","T","F","28","28","11","1","1.49"
"1081","iso16757_umfrage","interview","2026-05-21 12:55:18","6","2","3","3","3","","6","5","2","2","1","2","2","2","4","4","4","5","2","186","186","184","288","212","316","194","317","304","193","198","549","311","680","553","583","592","349","313","308","326","576","301","317","313","334","703","564","686","813","204","327","697","434","673","693","823","189","574","689","197","574","534","558","316","276","6","6","6","5","5","6","5","5","6","6","5","5","4","5","5","6","5","6","6","5","5","5","4","5","5","5","2","4","4","3","6","4","4","5","4","3","1","4","4","5","2","4","5","5","5","5","1","3","","1","1","","1","","","2","T","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","","3","T","T","F","F","F","F","F","F","F","F","F","F","F","F","T","TeamBeam","5","T","T","T","T","T","F","F","F","F","F","F","F","2","T","F","F","T","F","F","F","F","3","T","T","F","T","F","F","F","F","F","","9","3","18","18","9","2","34","22","16","463","19","236","22","","","6","32","15","34","4","52","82","32","55","6","14","19","11","1233","2026-05-21 13:15:51","complete","T","F","28","28","7","0","0.88"
"1082","iso16757_umfrage","interview","2026-05-21 13:21:01","7","1","2","3","3","","","","","","","","","","","","","","","178","179","222","180","334","338","214","330","219","218","209","295","352","-9","321","328","313","191","347","292","331","303","218","181","348","214","286","180","186","541","-9","312","330","315","-9","551","335","218","197","337","185","225","200","190","250","326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","7","","1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","4","5","15","17","10","30","18","10","267","26","","","","","","","","","","","","","","","","","","430","2026-05-21 13:28:11","","F","F","11","11","8","6","0.96"
"1083","iso16757_umfrage","interview","2026-05-21 14:40:13","6","3","2","4","3","","4","3","3","5","3","6","4","4","5","5","4","4","-9","190","167","185","199","163","203","197","187","174","257","340","272","322","392","275","284","291","333","294","260","307","305","302","323","316","285","306","288","288","-9","299","310","354","281","278","290","273","270","187","566","285","328","290","286","366","291","5","6","6","6","6","6","6","5","6","6","5","5","4","4","5","4","4","5","5","6","5","4","6","6","5","6","5","5","5","2","5","5","3","6","5","4","5","5","5","5","4","6","4","5","4","5","3","5","","1","1","","1","","","4","T","F","F","T","F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","","3","T","T","F","F","F","T","F","F","F","F","F","F","F","F","F","","4","T","F","F","F","T","F","F","T","T","F","F","F","4","T","T","F","F","T","T","F","F","6","T","F","F","T","T","T","T","F","T","stp-Dateien","47","21","4","24","9","14","35","28","34","231","12","191","24","","","15","32","14","18","93","17","20","15","60","10","14","13","9","898","2026-05-21 14:56:57","complete","T","F","28","28","8","2","0.89"
"1084","iso16757_umfrage","interview","2026-05-21 19:34:34","-9","-9","-9","-9","-9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","-1","","1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","4","5","27","27","9","8","17","","","","","","","","","","","","","","","","","","","","","114","2026-05-21 19:36:28","","F","F","8","8","69","67","1.16"
"1085","iso16757_umfrage","interview","2026-05-21 21:01:07","6","1","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","3","18","13","3","27","20","2","","","","","","","","","","","","","","","","","","","","94","2026-05-21 21:02:42","","F","F","9","9","15","2","1.73"
"1086","iso16757_umfrage","interview","2026-05-22 11:45:55","5","3","4","4","3","","3","3","5","4","3","6","5","5","5","5","5","4","5","135","132","149","147","150","177","134","365","181","164","175","244","228","215","234","268","273","237","209","195","164","177","131","212","242","152","244","237","204","635","195","356","337","137","362","509","643","234","214","343","151","173","215","235","241","268","5","6","6","4","4","5","5","5","4","6","4","5","4","4","5","4","5","4","4","5","3","4","4","4","4","5","4","5","5","3","4","5","3","4","3","4","2","5","5","4","4","4","4","4","5","4","4","5","Wir verwenden die Planungssoftware Linear mit Revit, welche eine VDI 3805 Schnittstelle besitzt. ","3","5","Auch hier da wir liNear mit Revit können wir auch hier Schnittstelle nutzen um Herstellerdaten und konstuktive Eigengenschaft zu importieren.","1","","","5","T","F","F","T","F","F","F","F","F","T","T","F","T","F","F","F","F","F","F","F","","3","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F","","7","T","T","T","T","T","F","F","T","T","F","F","F","7","T","T","T","T","T","T","T","F","6","T","T","T","T","T","T","F","F","F","","237","1","13","259","367","3","124","43","4","1074","5","267","2","","","3","33","25","39","3","57","52","75","77","5","20","14","2","1064","2026-05-22 12:32:39","complete","T","F","28","28","5","0","0.99"
"1088","iso16757_umfrage","interview","2026-05-26 08:39:53","5","7","3","4","4","","5","5","6","5","4","6","6","6","6","6","5","5","6","122","125","123","246","180","371","186","323","212","258","265","223","244","270","422","535","586","516","242","268","350","342","241","241","363","366","514","482","308","500","339","421","453","374","594","537","512","154","352","511","356","364","501","276","519","522","6","6","6","6","5","5","5","5","5","6","4","6","4","5","5","5","4","5","6","5","4","4","5","6","5","6","5","6","6","4","5","4","5","5","4","4","4","6","6","5","4","6","5","6","5","6","4","6","","4","6","","1","","","3","T","F","F","T","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","","6","T","F","T","F","T","T","F","F","F","F","T","F","F","F","T","diverse - wird vom Bauherr vorgegeben","8","T","F","T","T","T","F","F","T","T","T","T","F","4","T","F","F","T","T","T","F","F","3","F","F","F","F","T","T","T","F","F","","103","15","39","49","43","20","51","19","220","1135","18","454","15","","","3","56","12","39","7","26","48","20","48","4","20","9","3","1288","2026-05-26 09:21:10","complete","T","F","28","28","7","0","0.71"
"1092","iso16757_umfrage","interview","2026-06-12 14:33:21","6","2","3","4","3","","6","5","6","5","3","4","3","3","5","5","5","5","5","182","140","160","358","283","364","204","546","353","285","318","294","524","569","157","571","360","595","199","605","271","336","324","298","290","188","322","208","572","324","563","267","355","321","573","596","363","347","307","525","-9","-9","200","323","271","331","5","5","6","4","5","5","5","5","5","3","3","4","6","3","5","3","4","3","5","3","3","5","3","3","5","5","4","6","3","3","4","-9","4","6","2","4","4","5","5","4","2","5","5","5","5","5","5","7","Es werden z.B. Ventildaten für Berechnungen von Rohrnetzen verwendet.","1","-1","","1","","","1","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","","3","T","F","F","F","F","F","F","T","F","F","F","F","F","F","T","PlanFred","5","T","F","F","F","T","T","F","F","T","T","F","F","3","T","F","F","F","T","T","F","F","4","T","F","F","T","F","T","T","F","F","","4","2","2","151","14","4","32","10","4","313","13","266","4","","","6","35","12","10","3","12","28","20","38","4","12","9","5","886","2026-06-12 14:50:14","complete","T","F","28","28","8","2","1.46"
"1120","iso16757_umfrage_kurz","interview","2026-07-30 14:39:55","-9","-9","-9","3","5","","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","","","","","2","","","0","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","","","","","","","","","","","","","","","","","","","0","F","F","F","F","F","F","F","F","F","F","F","F","0","F","F","F","F","F","F","F","F","0","F","F","F","F","F","F","F","F","F","","33","2","4","7","34","9","10","2","10","2","12","2","3","2","4","5","5","17","13","13","1","","","","","","","","162","2026-07-30 14:43:05","","T","F","21","21","94","93","2.01"
"1142","iso16757_umfrage_kurz","interview","2026-08-04 10:40:07","5","7","4","3","3","","5","4","5","4","3","5","3","3","4","5","4","3","4","229","3","31","37","231","187","171","535","78","281","535","587","595","552","579","338","316","205","227","156","350","276","522","336","217","161","264","346","347","221","192","348","175","23","715","520","534","26","86","597","349","555","593","613","567","603","5","6","5","5","5","5","6","5","5","6","4","5","5","5","5","5","5","5","5","5","2","4","5","5","5","5","6","6","6","5","6","5","6","6","4","5","4","5","5","5","5","5","4","4","4","3","2","-1","Bei Planungen für die öffentliche AG sollte der Datensatz allgemeingültig formuliert werden. ","","","","1","","Nach hamburgischen Klimaschutzgesetz ist aktives Kühlen von Wohngebäuden nicht zulässig insofern ist der reversible Betrieb der Wärmepumpe schwierig.","1","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","","","","","","","","","","","","","","","","","","","2","T","F","F","F","F","F","F","F","T","F","F","F","3","F","F","F","T","T","T","F","F","3","F","F","F","T","T","T","F","F","F","","11","3","5","194","7","53","44","3","627","8","539","11","114","149","75","3","21","38","70","116","5","","","","","","","","1622","2026-08-04 11:15:03","complete","T","F","21","21","1","0","0.74"
